ITALIANO,BRESCIANO,categoria,Bresciano_,Column1
"Altaleno (a forma di forca fissato afianco del fuoco per il paiolo)",Segagn,attrezzo,segagn,6
Altana,Baltresca,,baltresca,9
Altea,Malvu,botanica,malvu,5
Altercare,Racola,,racola,6
Alterigia,Altor,arcaico,altor,5
Altezzoso,Smerdol,figurativo,smerdol,7
Alticcio,Ciarit,,ciarit,6
Alticcio,Strot,figurativo,strot,5
Altri,Alter,,alter,5
Altrimenti,Seno,,seno,4
Altrimenti,Sedeno,,sedeno,6
Altro ieri,Altrer,,altrer,6
Altroche,Alterfat,,alterfat,8
Altroche,Be a bela,,be a bela,9
Alveare,Caseta de le ae,,caseta de le ae,15
Alveare,Borgasol,arcaico,borgasol,8
Alzare,Lea,,lea,3
Alzarsi,Lia so,,lia so,6
Alzata per stoviglie,Credensa,,credensa,8
Alzato,Leat so,,leat so,7
alzavola,gaarel,ornitologia,gaarel,6
alzavola,gaer,ornitologia,gaer,4
alzavola,gaarela,ornitologia,gaarela,7
alzavola,garganel,ornitologia,garganel,8
alzavola,gaver,ornitologia,gaver,5
alzavola,grecol,ornitologia,grecol,6
alzavola,nidri,ornitologia,nidri,5
Alzo (strumento di mira),als,attrezzo,als,3
Amante,meco,,meco,4
"Amarasca, maraschino",ratafia,arcaico,ratafia,7
Amarena,isola,,isola,5
Amarena,marasca,,marasca,7
Amarena selvatica,marini,botanica,marini,6
ITALIANO,BRESCIANO,categoria,bresciano,9
Amarone,amaru,,amaru,5
Ambio del cavallo,contrapas,,contrapas,9
ambulante di arrosti,rustiser,arcaico,rustiser,8
ambulante di formaggi,formai,,formai,6
ambulante di formaggi,formaer,,formaer,7
ambulante di liquori,liquorista,arcaico,liquorista,10
amitto,panuli,,panuli,6
ammaccare,sacagna,,sacagna,7
ammaccare,smaca,,smaca,5
ammaccare,smasoca,,smasoca,7
ammaccare,sobater,,sobater,7
ammaccare,stosa,,stosa,5
ammaccatura,bogna,,bogna,5
ammaccatura,bota,,bota,4
ammaccatura,macadura,,macadura,8
ammaccatura,sacagn,,sacagn,6
ammaccatura,stos,,stos,4
ammaccatura,stosadura,,stosadura,9
ammaccatura,sobatidura,,sobatidura,10
"ammannito, preparato",trat aibe,,trat aibe,9
ammassare,ramasa,,ramasa,6
ammattire,pirla,,pirla,5
ammattire,sora,,sora,4
ammattirsi,smatis,,smatis,6
ammazzare,copa,,copa,4
ammazzare,masa,,masa,4
ammazzare,to fora,figurativo,to fora,7
ammiccare,cigna,,cigna,5
ammogliarsi,to moer,,to moer,7
ammogliato,maridat,,maridat,7
ammollare,moja,,moja,4
ammollare,smoja,,smoja,5
ammollo,en misa,,en misa,7
ammollo,moeta,arcaico,moeta,5
ammollo,moi,,moi,3
ammollo,moja,,moja,4
ammollo,smoi,,smoi,4
ammorbare,smorba,,smorba,6
ammorbare,tarnega,,tarnega,7
ammorbare,tofega,,tofega,6
ammorbidire,smolzina,,smolzina,8
ammorbidito,smolzinat,,smolzinat,9
ammucchiare,enmocia,,enmocia,7
ammuffire,mufi,,mufi,4
ITALIANO,BRESCIANO,categoria,bresciano,9
ammuffito,mofet,,mofet,5
amoreggiare,slimuna,,slimuna,7
amoreggiare,smosegna,,smosegna,8
amoreggiare,smuruza,,smuruza,7
ampollina,bocalina,,bocalina,8
ampollina,carafina,,carafina,8
anagallide,erba che fa canta le galine,botanica,erba che fa canta le galine,27
anagallide,erba piagalina,botanica,erba piagalina,14
anatra,nedrot,ornitologia,nedrot,6
anatra selvatica,gaer,ornitologia,gaer,4
anatroccolo,nidri,ornitologia,nidri,5
anca,pala del galu,anatomia,pala del galu,13
anche,ach,,ach,3
anche,apo,,apo,3
